company_id,company_key,company_name,company_name_variants,company_size,website,domain,industry,founded_in,founded_raw,description,company_type,annual_revenue,employee_total,company_email,linkedin_url,linkedin_description,state,ndis_direct_support,nursing_care_relevance,position_tier_best,people_count,support_coordinator_count,people_with_email_count,source_batch
2c267b0e2ef06dc9,osanability.com.au,OSAN ABILITY,OSAN ABILITY ASSIST,11-50,https://www.osanability.com.au/,osanability.com.au,Individual and Family Services,,,"OSAN Ability is a registered and approved provider of National Disability Insurance Scheme. 

At OSAN, we connect people with a disability, their family and carers with information and referrals to existing support services in the community. We provide individualised support to people with disability and assist in managing existing support systems.

Our aim is to assist older people and people living with a disability to achieve their goals, which includes includes linking in with community networks and associations, greater independence and improved well being.",,,41,,https://www.linkedin.com/company/osan-ability/,,NSW,Yes,Yes,A,3,1,2,Triple R NSW Campaign 3 Cold Export
5fc85c13045c3d3f,sjog.org.au,St John of God Health Care,St John of God Accord,,https://www.sjog.org.au/,sjog.org.au,Community Services,,,,,,,,,,VIC,Yes,No,A,3,1,0,Triple R VIC Campaign 3 Cold Export
32f06fca23f305a8,smhow.org.au,St Mary's House of Welcome,,,https://www.smhow.org.au,smhow.org.au,Non-profit Organizations,,,,,,,,,,VIC,Unclear,No,A,3,1,0,Triple R VIC Campaign 3 Cold Export
d628ee07becffad9,dffh.vic.gov.au,Victorian Department of Families,,,https://www.dffh.vic.gov.au/,dffh.vic.gov.au,,,,,,,,,,,VIC,Unclear,No,A,3,1,1,Triple R VIC Campaign 3 Cold Export
8aafc59992fb602d,windermere.org.au,Windermere Child and Family Services,,,https://www.windermere.org.au/,windermere.org.au,,,,,,,,,,,VIC,Yes,No,A,3,1,2,Triple R VIC Campaign 3 Cold Export
b0c1a192e8929352,yourside.org.au,Your Side Australia,Catholic Community Services. Northside Community Forum.,51-200,https://yourside.org.au,yourside.org.au,Individual and Family Services,,,"Your Side Australia (also known as North Side) is a leading provider of support services for older people, vulnerable seniors, and carers throughout Sydney. For 30 years we've kept our commitment to give people greater choice and to enhance their independence and wellbeing. 

Your Side provides personalised case management to arrange the care and support that allows older people and their families to get on with living a good life. Our consultants help clients navigate the complexities of the Aged Care system and ensure they get the most from their funding with the right, quality-checked support services. Your Side is a not-for-profit aged care provider - all income surplus is invested back into the organisation and services we provide. We continuously strive to improve our model: with client’s needs at the centre, supporting people through key life changes, and building integrated pathways with the wider health and community services system.

Our vision is that every life can be a good one. 

Follow us on Facebook
https://www.facebook.com/yoursideaus/
or Instagram 
https://www.instagram.com/yoursideaustralia/",,,73,,https://www.linkedin.com/company/yoursideaustralia/,,NSW,Unclear,Yes,A,3,1,3,Triple R NSW Campaign 3 Cold Export
141b95323a1f2c9e,abis.org.au,Acquired Brain Injury Services,Access Brain Injury Services,,No website found,abis.org.au,,,,,,,,,,,NSW,Yes,No,A,2,1,0,Triple R NSW Campaign 3 Cold Export
1e4aaee4c056bcd0,bcyf.org.au,BCYF Barwon Child,Barwon Youth,,https://www.bcyf.org.au,bcyf.org.au,,,,,,,,,,,VIC,Unclear,Yes,A,2,1,0,Triple R VIC Campaign 3 Cold Export
21a3e8bc44a7b762,bloomfieldcare.com.au,Bloomfield Care Services,,11-50,https://bloomfieldcare.com.au,bloomfieldcare.com.au,Hospitals and Health Care,,,"Bloomfield Care Services is a recognised accredited service that provides NDIS Support Services and Aged Care services to participants throughout the greater Sydney region of NSW. Our specialised team of registered nurses, support workers, carers and specialists who together aim to empower participants to live life as independently as possible and offer a vast variety of care supports to help them achieve their life goals.",,,27,,https://www.linkedin.com/company/bloomfield-care-services/,,NSW,Yes,Yes,A,2,1,1,Triple R NSW Campaign 3 Cold Export
8f851083dca660d9,claro.com,CLARO,Claro,,https://www.claro.com/,claro.com,,,,,,,,,,,VIC,Unclear,No,A,2,1,0,Triple R VIC Campaign 3 Cold Export
